"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES_PRINCIPAIS";"QT_SECOES_AGREGADAS";"QT_SECOES_NAO_INSTALADAS";"QT_TOTAL_SECOES";"QT_COMPARECIMENTO";"QT_ELEITORES_SECOES_NAO_INSTALADAS";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS";"QT_VOTOS_CONCORRENTES";"QT_TOTAL_VOTOS_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_LEG_VALIDOS";"QT_VOTOS_NOM_CONVR_LEG_VALIDOS";"QT_TOTAL_VOTOS_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS";"QT_VOTOS_LEGENDA_ANULADOS";"QT_TOTAL_VOTOS_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_BRANCOS";"QT_TOTAL_VOTOS_NULOS";"QT_VOTOS_NULOS";"QT_VOTOS_NULOS_TECNICOS";"QT_VOTOS_ANULADOS_APU_SEP";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"21555";"REMÍGIO";"21555";"REMÍGIO";67;11;"Prefeito";13655;48;2;0;50;11275;0;2380;"N";11275;10823;10823;10823;0;0;0;0;0;0;0;0;0;176;276;276;0;0;"20:12:28";"15/11/2020"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"21237";"PEDRA LAVRADA";"21237";"PEDRA LAVRADA";25;11;"Prefeito";5798;17;0;0;17;5305;0;493;"N";5305;5132;5132;5132;0;0;0;0;0;0;0;0;0;29;144;144;0;0;"17:47:13";"15/11/2020"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"22390";"UIRAÚNA";"22390";"UIRAÚNA";53;11;"Prefeito";11284;35;19;0;54;10136;0;1148;"N";10136;9722;9722;9722;0;0;0;0;0;0;0;0;0;49;365;365;0;0;"20:12:31";"15/11/2020"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"19550";"BORBOREMA";"19550";"BORBOREMA";11;11;"Prefeito";4516;12;8;0;20;3899;0;617;"N";3899;3711;3711;3711;0;0;0;0;0;0;0;0;0;39;149;149;0;0;"21:59:36";"15/11/2020"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"21911";"SÃO JOSÉ DE PIRANHAS";"21911";"SÃO JOSÉ DE PIRANHAS";40;11;"Prefeito";14633;44;22;0;66;12274;0;2359;"N";12274;11675;11675;11675;0;0;0;0;0;0;0;0;0;137;462;462;0;0;"21:41:03";"15/11/2020"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"22330";"TAVARES";"22330";"TAVARES";34;11;"Prefeito";11172;30;15;0;45;9007;0;2165;"N";9007;8397;8397;8397;0;0;0;0;0;0;0;0;0;158;452;452;0;0;"21:46:42";"15/11/2020"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"19950";"CONGO";"19950";"CONGO";43;11;"Prefeito";4972;16;0;0;16;4500;0;472;"N";4500;4366;4366;4366;0;0;0;0;0;0;0;0;0;28;106;106;0;0;"19:30:45";"15/11/2020"
"06/01/2026";"16:45:21";2020;1;"Eleição Extraordinária";1;612;"Eleição Suplementar de Boqueirão/PB";"12/11/2023";"M";"PB";"19518";"BOQUEIRÃO";"19518";"BOQUEIRÃO";62;13;"Vereador";15045;50;0;0;50;11513;0;3532;"N";11513;10799;10799;10619;180;180;0;0;0;0;0;0;0;329;385;385;0;0;"17:26:26";"12/11/2023"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"20893";"MOGEIRO";"20893";"MOGEIRO";6;13;"Vereador";10240;28;2;0;30;8816;0;1424;"N";8816;8410;8410;7926;484;484;0;0;0;0;0;0;0;156;250;249;1;0;"20:12:25";"15/11/2020"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"19526";"POÇO DE JOSÉ DE MOURA";"19526";"POÇO DE JOSÉ DE MOURA";37;13;"Vereador";3837;10;13;0;23;3426;0;411;"N";3426;3227;3227;3052;175;175;0;0;0;0;0;0;0;30;169;169;0;0;"21:59:35";"15/11/2020"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"19496";"BONITO DE SANTA FÉ";"19496";"BONITO DE SANTA FÉ";40;13;"Vereador";7439;20;0;0;20;6210;0;1229;"N";6210;5742;5742;5493;249;249;0;0;0;0;0;0;0;73;395;388;7;0;"21:46:06";"15/11/2020"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"19380";"CAJAZEIRINHAS";"19380";"CAJAZEIRINHAS";52;13;"Vereador";3733;12;0;0;12;3331;0;402;"N";3331;3168;3168;3018;150;150;0;0;0;0;0;0;0;18;145;145;0;0;"17:44:45";"15/11/2020"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"19895";"CONCEIÇÃO";"19895";"CONCEIÇÃO";41;13;"Vereador";13911;39;17;0;56;11998;0;1913;"N";11998;11377;11377;10750;627;627;0;0;0;0;0;0;0;157;464;464;0;0;"13:20:00";"20/11/2020"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"19470";"BOM SUCESSO";"19470";"BOM SUCESSO";36;13;"Vereador";4323;14;1;0;15;3784;0;539;"N";3784;3666;3666;3484;182;182;0;0;0;0;0;0;0;30;88;88;0;0;"21:42:28";"15/11/2020"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"19500";"BERNARDINO BATISTA";"19500";"BERNARDINO BATISTA";53;13;"Vereador";2963;8;9;0;17;2692;0;271;"N";2692;2573;2573;2458;115;115;0;0;0;0;0;0;0;10;109;109;0;0;"21:59:34";"15/11/2020"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"22012";"SÃO MIGUEL DE TAIPU";"22012";"SÃO MIGUEL DE TAIPU";44;13;"Vereador";5958;18;0;0;18;5405;0;553;"N";5405;5175;5175;4928;247;247;0;0;0;0;0;0;0;59;171;171;0;0;"21:42:15";"15/11/2020"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"19917";"CONDADO";"19917";"CONDADO";51;11;"Prefeito";5372;14;0;0;14;4571;0;801;"N";4571;4424;4424;4424;0;0;0;0;0;0;0;0;0;33;114;114;0;0;"19:11:38";"15/11/2020"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"20753";"MÃE D ÁGUA";"20753";"MÃE D ÁGUA";30;11;"Prefeito";3838;9;10;0;19;3407;0;431;"N";3407;3312;3312;3312;0;0;0;0;0;0;0;0;0;15;80;80;0;0;"19:31:23";"15/11/2020"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"19739";"CAIÇARA";"19739";"CAIÇARA";14;11;"Prefeito";6080;21;1;0;22;5218;0;862;"N";5218;5009;5009;5009;0;0;0;0;0;0;0;0;0;40;169;169;0;0;"20:12:36";"15/11/2020"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"21938";"SÃO JOSÉ DO BONFIM";"21938";"SÃO JOSÉ DO BONFIM";65;11;"Prefeito";3780;10;6;0;16;3305;0;475;"N";3305;3109;3109;3109;0;0;0;0;0;0;0;0;0;65;131;131;0;0;"20:12:28";"15/11/2020"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"19984";"MATURÉIA";"19984";"MATURÉIA";30;11;"Prefeito";5364;16;7;0;23;4419;0;945;"N";4419;4035;4035;4035;0;0;0;0;0;0;0;0;0;122;262;262;0;0;"20:12:34";"15/11/2020"
